Sample	serialized_eq_classes	num_mapped	frag_dist_length	num_bootstraps	call	num_libraries	library_types	end_time	samp_type	num_targets	percent_mapped	salmon_version	eq_class_properties	num_bias_bins	mapping_type	length_classes	num_processed	start_time	seq_bias_correct	gc_bias_correct
ERR1146447	False	4195240	1000001	100	quant	1	['IU']	Thu Oct 26 19:35:13 2017	bootstrap	129918	83.35263877966797	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5033122	Thu Oct 26 19:22:29 2017	True	True
ERR1146448	False	3857475	1000001	100	quant	1	['IU']	Thu Oct 26 19:34:47 2017	bootstrap	129918	88.27351672070284	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4369912	Thu Oct 26 19:22:44 2017	True	True
ERR1146449	False	3942762	1000001	100	quant	1	['IU']	Thu Oct 26 19:33:10 2017	bootstrap	129918	87.41624506050665	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4510331	Thu Oct 26 19:23:32 2017	True	True
ERR1146450	False	3975801	1000001	100	quant	1	['IU']	Thu Oct 26 19:32:27 2017	bootstrap	129918	85.70592471858014	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4638887	Thu Oct 26 19:24:03 2017	True	True
ERR1146451	False	1543752	1000001	100	quant	1	['IU']	Thu Oct 26 19:31:13 2017	bootstrap	129918	93.72733471073126	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	1647067	Thu Oct 26 19:24:07 2017	True	True
ERR1146452	False	3857331	1000001	100	quant	1	['IU']	Thu Oct 26 19:32:51 2017	bootstrap	129918	88.76540834797288	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4345534	Thu Oct 26 19:24:17 2017	True	True
ERR1146453	False	4411611	1000001	100	quant	1	['IU']	Thu Oct 26 19:34:36 2017	bootstrap	129918	92.28427485399935	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4780458	Thu Oct 26 19:24:19 2017	True	True
ERR1146454	False	3244239	1000001	100	quant	1	['IU']	Thu Oct 26 19:35:29 2017	bootstrap	129918	89.95652791164281	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3606452	Thu Oct 26 19:24:22 2017	True	True
ERR1146455	False	4862190	1000001	100	quant	1	['IU']	Thu Oct 26 19:34:14 2017	bootstrap	129918	92.05858195941931	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5281626	Thu Oct 26 19:24:28 2017	True	True
ERR1146456	False	2630708	1000001	100	quant	1	['IU']	Thu Oct 26 19:36:41 2017	bootstrap	129918	87.94280910013255	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2991385	Thu Oct 26 19:24:37 2017	True	True
ERR1146457	False	3468788	1000001	100	quant	1	['IU']	Thu Oct 26 19:35:32 2017	bootstrap	129918	85.97481420968727	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4034656	Thu Oct 26 19:24:45 2017	True	True
ERR1146458	False	3494977	1000001	100	quant	1	['IU']	Thu Oct 26 19:36:24 2017	bootstrap	129918	85.09305881977707	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4107241	Thu Oct 26 19:24:47 2017	True	True
ERR1146459	False	3389995	1000001	100	quant	1	['IU']	Thu Oct 26 19:34:07 2017	bootstrap	129918	84.80652575920715	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3997328	Thu Oct 26 19:24:47 2017	True	True
ERR1146460	False	3555570	1000001	100	quant	1	['IU']	Thu Oct 26 19:37:37 2017	bootstrap	129918	90.88332094485098	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3912236	Thu Oct 26 19:24:50 2017	True	True
ERR1146461	False	2376262	1000001	100	quant	1	['IU']	Thu Oct 26 19:35:56 2017	bootstrap	129918	88.29427287502163	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2691298	Thu Oct 26 19:25:09 2017	True	True
ERR1146462	False	3293945	1000001	100	quant	1	['IU']	Thu Oct 26 19:40:06 2017	bootstrap	129918	80.97136284650311	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4068037	Thu Oct 26 19:25:19 2017	True	True
ERR1146463	False	5166489	1000001	100	quant	1	['IU']	Thu Oct 26 19:34:38 2017	bootstrap	129918	89.14197837812843	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5795798	Thu Oct 26 19:25:29 2017	True	True
ERR1146464	False	3192678	1000001	100	quant	1	['IU']	Thu Oct 26 19:39:52 2017	bootstrap	129918	81.47265771831604	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3918711	Thu Oct 26 19:25:37 2017	True	True
ERR1146465	False	3522461	1000001	100	quant	1	['IU']	Thu Oct 26 19:35:04 2017	bootstrap	129918	92.08557242960114	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3825204	Thu Oct 26 19:25:41 2017	True	True
ERR1146466	False	5024592	1000001	100	quant	1	['IU']	Thu Oct 26 19:39:48 2017	bootstrap	129918	87.87537857251164	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5717861	Thu Oct 26 19:27:10 2017	True	True
ERR1146467	False	3056478	1000001	100	quant	1	['IU']	Thu Oct 26 19:40:37 2017	bootstrap	129918	82.09314449491202	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3723183	Thu Oct 26 19:27:22 2017	True	True
ERR1146468	False	4427449	1000001	100	quant	1	['IU']	Thu Oct 26 19:36:02 2017	bootstrap	129918	93.57761652581779	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4731312	Thu Oct 26 19:27:58 2017	True	True
ERR1146469	False	4070780	1000001	100	quant	1	['IU']	Thu Oct 26 19:37:32 2017	bootstrap	129918	93.12711726369461	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4371208	Thu Oct 26 19:28:15 2017	True	True
ERR1146470	False	4034625	1000001	100	quant	1	['IU']	Thu Oct 26 19:39:33 2017	bootstrap	129918	86.59840747146494	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4659006	Thu Oct 26 19:28:17 2017	True	True
ERR1146471	False	3768585	1000001	100	quant	1	['IU']	Thu Oct 26 19:40:59 2017	bootstrap	129918	89.16937706118937	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4226322	Thu Oct 26 19:28:23 2017	True	True
ERR1146472	False	5011177	1000001	100	quant	1	['IU']	Thu Oct 26 19:40:39 2017	bootstrap	129918	85.2808365021082	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5876088	Thu Oct 26 19:28:28 2017	True	True
ERR1146473	False	2573673	1000001	100	quant	1	['IU']	Thu Oct 26 19:43:20 2017	bootstrap	129918	83.51254794307185	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3081780	Thu Oct 26 19:29:20 2017	True	True
ERR1146474	False	4910325	1000001	100	quant	1	['IU']	Thu Oct 26 19:39:09 2017	bootstrap	129918	86.12514084299532	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5701384	Thu Oct 26 19:29:34 2017	True	True
ERR1146475	False	3525331	1000001	100	quant	1	['IU']	Thu Oct 26 19:36:29 2017	bootstrap	129918	92.90408560393317	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3794592	Thu Oct 26 19:29:40 2017	True	True
ERR1146476	False	4043748	1000001	100	quant	1	['IU']	Thu Oct 26 19:41:37 2017	bootstrap	129918	92.41357055818168	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4375708	Thu Oct 26 19:31:33 2017	True	True
ERR1146477	False	2738782	1000001	100	quant	1	['IU']	Thu Oct 26 19:45:07 2017	bootstrap	129918	83.94713514878738	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3262508	Thu Oct 26 19:32:46 2017	True	True
ERR1146478	False	3038634	1000001	100	quant	1	['IU']	Thu Oct 26 19:43:37 2017	bootstrap	129918	86.56243358901622	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3510338	Thu Oct 26 19:33:12 2017	True	True
ERR1146479	False	5004432	1000001	100	quant	1	['IU']	Thu Oct 26 19:41:05 2017	bootstrap	129918	93.98382656184856	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5324780	Thu Oct 26 19:33:14 2017	True	True
ERR1146480	False	3579946	1000001	100	quant	1	['IU']	Thu Oct 26 19:42:48 2017	bootstrap	129918	84.43951951773457	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4239657	Thu Oct 26 19:33:36 2017	True	True
ERR1146481	False	3154320	1000001	100	quant	1	['IU']	Thu Oct 26 19:47:40 2017	bootstrap	129918	81.2045266029831	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3884414	Thu Oct 26 19:34:01 2017	True	True
ERR1146482	False	3979593	1000001	100	quant	1	['IU']	Thu Oct 26 19:47:17 2017	bootstrap	129918	87.39387859660943	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4553629	Thu Oct 26 19:34:39 2017	True	True
ERR1146483	False	4627419	1000001	100	quant	1	['IU']	Thu Oct 26 19:43:43 2017	bootstrap	129918	92.62236674655715	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4996006	Thu Oct 26 19:35:04 2017	True	True
ERR1146484	False	3257281	1000001	100	quant	1	['IU']	Thu Oct 26 19:44:26 2017	bootstrap	129918	91.13962550077702	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3573946	Thu Oct 26 19:35:45 2017	True	True
ERR1146485	False	2551799	1000001	100	quant	1	['IU']	Thu Oct 26 19:49:09 2017	bootstrap	129918	85.89813200607124	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2970727	Thu Oct 26 19:35:45 2017	True	True
ERR1146486	False	3285003	1000001	100	quant	1	['IU']	Thu Oct 26 19:44:42 2017	bootstrap	129918	90.93982695703158	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3612282	Thu Oct 26 19:35:55 2017	True	True
ERR1146487	False	2375015	1000001	100	quant	1	['IU']	Thu Oct 26 19:48:51 2017	bootstrap	129918	80.09957916790047	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2965078	Thu Oct 26 19:36:13 2017	True	True
ERR1146488	False	1667224	1000001	100	quant	1	['IU']	Thu Oct 26 19:49:04 2017	bootstrap	129918	64.92373556887085	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2567973	Thu Oct 26 19:36:21 2017	True	True
ERR1146489	False	2084337	1000001	100	quant	1	['IU']	Thu Oct 26 19:42:59 2017	bootstrap	129918	82.48106783841548	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2527049	Thu Oct 26 19:36:32 2017	True	True
ERR1146490	False	3044091	1000001	100	quant	1	['IU']	Thu Oct 26 19:49:22 2017	bootstrap	129918	72.75541669873323	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4184006	Thu Oct 26 19:36:38 2017	True	True
ERR1146491	False	2411418	1000001	100	quant	1	['IU']	Thu Oct 26 19:53:01 2017	bootstrap	129918	73.50046634682793	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3280820	Thu Oct 26 19:36:52 2017	True	True
ERR1146492	False	2017800	1000001	100	quant	1	['IU']	Thu Oct 26 19:56:03 2017	bootstrap	129918	78.10918330651371	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2583307	Thu Oct 26 19:37:02 2017	True	True
ERR1146493	False	2652811	1000001	100	quant	1	['IU']	Thu Oct 26 19:49:12 2017	bootstrap	129918	72.58765659241658	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3654631	Thu Oct 26 19:37:05 2017	True	True
ERR1146494	False	2918158	1000001	100	quant	1	['IU']	Thu Oct 26 19:48:06 2017	bootstrap	129918	80.04769684687304	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3645524	Thu Oct 26 19:37:09 2017	True	True
ERR1146495	False	1209123	1000001	100	quant	1	['IU']	Thu Oct 26 19:45:12 2017	bootstrap	129918	69.21697744351432	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	1746859	Thu Oct 26 19:37:34 2017	True	True
ERR1146496	False	2034548	1000001	100	quant	1	['IU']	Thu Oct 26 19:48:34 2017	bootstrap	129918	82.84104910247129	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2455966	Thu Oct 26 19:37:38 2017	True	True
ERR1146497	False	1319160	1000001	100	quant	1	['IU']	Thu Oct 26 19:51:11 2017	bootstrap	129918	79.47311917353161	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	1659882	Thu Oct 26 19:37:50 2017	True	True
ERR1146498	False	741494	1000001	100	quant	1	['IU']	Thu Oct 26 19:49:43 2017	bootstrap	129918	53.92381662990508	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	1375077	Thu Oct 26 19:38:19 2017	True	True
ERR1146499	False	3145431	1000001	100	quant	1	['IU']	Thu Oct 26 19:50:23 2017	bootstrap	129918	73.77466978924913	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4263565	Thu Oct 26 19:38:46 2017	True	True
ERR1146500	False	2309140	1000001	100	quant	1	['IU']	Thu Oct 26 19:48:09 2017	bootstrap	129918	72.40297132056706	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3189289	Thu Oct 26 19:39:40 2017	True	True
ERR1146501	False	1718170	1000001	100	quant	1	['IU']	Thu Oct 26 19:54:07 2017	bootstrap	129918	71.73855678643064	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2395044	Thu Oct 26 19:40:58 2017	True	True
ERR1146502	False	3386328	1000001	100	quant	1	['IU']	Thu Oct 26 19:54:23 2017	bootstrap	129918	73.36663471721266	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4615624	Thu Oct 26 19:41:00 2017	True	True
ERR1146503	False	2637713	1000001	100	quant	1	['IU']	Thu Oct 26 19:52:30 2017	bootstrap	129918	70.83183289387577	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3723909	Thu Oct 26 19:41:15 2017	True	True
ERR1146504	False	2060373	1000001	100	quant	1	['IU']	Thu Oct 26 19:50:29 2017	bootstrap	129918	81.3790300506789	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2531823	Thu Oct 26 19:41:45 2017	True	True
ERR1146505	False	2433170	1000001	100	quant	1	['IU']	Thu Oct 26 19:52:17 2017	bootstrap	129918	79.94434186057208	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3043580	Thu Oct 26 19:41:49 2017	True	True
ERR1146506	False	2114923	1000001	100	quant	1	['IU']	Thu Oct 26 19:50:52 2017	bootstrap	129918	71.89697994494156	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2941602	Thu Oct 26 19:42:07 2017	True	True
ERR1146507	False	2461583	1000001	100	quant	1	['IU']	Thu Oct 26 19:54:32 2017	bootstrap	129918	74.82381356656055	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3289839	Thu Oct 26 19:42:13 2017	True	True
ERR1146508	False	2600627	1000001	100	quant	1	['IU']	Thu Oct 26 19:50:37 2017	bootstrap	129918	90.02977189878939	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2888630	Thu Oct 26 19:42:47 2017	True	True
ERR1146509	False	2176128	1000001	100	quant	1	['IU']	Thu Oct 26 19:52:09 2017	bootstrap	129918	76.1674352964895	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2857032	Thu Oct 26 19:44:08 2017	True	True
ERR1146510	False	2550778	1000001	100	quant	1	['IU']	Thu Oct 26 19:55:25 2017	bootstrap	129918	76.07597522767367	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3352935	Thu Oct 26 19:44:46 2017	True	True
ERR1146511	False	1994144	1000001	100	quant	1	['IU']	Thu Oct 26 19:59:45 2017	bootstrap	129918	69.21335367239875	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2881155	Thu Oct 26 19:44:53 2017	True	True
ERR1146512	False	3269000	1000001	100	quant	1	['IU']	Thu Oct 26 19:54:55 2017	bootstrap	129918	77.82944186124027	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4200210	Thu Oct 26 19:45:03 2017	True	True
ERR1146513	False	2437231	1000001	100	quant	1	['IU']	Fri Oct 27 06:28:35 2017	bootstrap	129918	72.90194944129257	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3343163	Thu Oct 26 19:48:28 2017	True	True
ERR1146514	False	4031261	1000001	100	quant	1	['IU']	Thu Oct 26 20:01:41 2017	bootstrap	129918	78.64254701860456	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5126056	Thu Oct 26 19:46:08 2017	True	True
ERR1146515	False	3653350	1000001	100	quant	1	['IU']	Thu Oct 26 19:57:51 2017	bootstrap	129918	65.12271862817956	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5609947	Thu Oct 26 19:46:16 2017	True	True
ERR1146516	False	1798294	1000001	100	quant	1	['IU']	Thu Oct 26 19:53:27 2017	bootstrap	129918	71.85134397582226	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	2502798	Thu Oct 26 19:46:22 2017	True	True
ERR1146517	False	2076225	1000001	100	quant	1	['IU']	Thu Oct 26 19:57:47 2017	bootstrap	129918	64.28082474877931	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3229929	Thu Oct 26 19:48:49 2017	True	True
ERR1146518	False	2224967	1000001	100	quant	1	['IU']	Thu Oct 26 19:59:44 2017	bootstrap	129918	65.7945093150143	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3381691	Thu Oct 26 19:48:51 2017	True	True
ERR1146519	False	3102245	1000001	100	quant	1	['IU']	Thu Oct 26 20:00:55 2017	bootstrap	129918	60.0311549085913	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5167725	Thu Oct 26 19:49:36 2017	True	True
ERR1146520	False	3106555	1000001	100	quant	1	['IU']	Thu Oct 26 20:00:06 2017	bootstrap	129918	74.0986729261624	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4192457	Thu Oct 26 19:49:44 2017	True	True
ERR1146521	False	2229552	1000001	100	quant	1	['IU']	Thu Oct 26 20:00:13 2017	bootstrap	129918	63.83819063966981	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3492505	Thu Oct 26 19:50:09 2017	True	True
ERR1146522	False	2820791	1000001	100	quant	1	['IU']	Thu Oct 26 20:02:39 2017	bootstrap	129918	70.16355463312762	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4020308	Thu Oct 26 19:50:12 2017	True	True
ERR1146523	False	3035167	1000001	100	quant	1	['IU']	Thu Oct 26 20:00:50 2017	bootstrap	129918	87.54596631439647	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3466941	Thu Oct 26 19:50:18 2017	True	True
